id,title,tags
253.0,Live and Let Die,JamesBondCollection Adventure Action Thriller James Bond must investigate a mysterious murder case of a British agent in New Orleans Soon he finds himself up against a gangster boss named Mr Big RogerMoore YaphetKotto JaneSeymour GuyHamilton
255.0,Stolen Kisses,TheAdventuresofAntoineDoinel Comedy Drama Romance Baisers voles is the second of two films from the ‘Antonie-Doinel-Zyklus’ by French director Truffaut The film depicts the life of a young twenty year old man who’s life revolves around casual jobs and women especially young violinist Christine Darbon (Claude Jade's screen-debut) Jean-PierreLéaud ClaudeJade DelphineSeyrig FrançoisTruffaut
258.0,Bed and Board,TheAdventuresofAntoineDoinel Comedy Drama Romance Bed and Board depicts Christine and Antoine having just gotten married yet things fall apart as they are unfaithful Jean-PierreLéaud ClaudeJade DanielCeccaldi FrançoisTruffaut
259.0,Love on the Run,TheAdventuresofAntoineDoinel Comedy Drama Romance Antoine Doinel is now more than thirty He divorces from Christine He is a proofreader and is in love with Sabine a record seller Colette his teenager love is now a lawyer She buys Antoine's first published autobiographical novel They meet again in a station Jean-PierreLéaud Marie-FrancePisier ClaudeJade FrançoisTruffaut
268.0,Batman,BatmanCollection Fantasy Action The Dark Knight of Gotham City begins his war on crime with his first major enemy being the clownishly homicidal Joker who has seized control of Gotham's underworld JackNicholson MichaelKeaton KimBasinger TimBurton
272.0,Batman Begins,TheDarkKnightCollection Action Crime Drama Driven by tragedy billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home Gotham City Unable to work within the system he instead creates a new identity a symbol of fear for the criminal underworld - The Batman ChristianBale MichaelCaine LiamNeeson ChristopherNolan
274.0,The Silence of the Lambs,TheHannibalLecterAnthology Crime Drama Thriller FBI trainee Clarice Starling ventures into a maximum-security asylum to pick the diseased brain of Hannibal Lecter a psychiatrist turned homicidal cannibal Starling needs clues to help her capture a serial killer but her Faustian relationship with Lecter soon leads to his escape and now two deranged killers are on the loose JodieFoster AnthonyHopkins ScottGlenn JonathanDemme
277.0,Underworld,UnderworldCollection Fantasy Action Thriller Vampires and werewolves have waged a nocturnal war against each other for centuries But all bets are off when a female vampire warrior named Selene who's famous for her strength and werewolf-hunting prowess becomes smitten with a peace-loving male werewolf Michael who wants to end the war KateBeckinsale ScottSpeedman MichaelSheen LenWiseman
280.0,Terminator 2: Judgment Day,TheTerminatorCollection Action Thriller ScienceFiction Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future Now her son John the future leader of the resistance is the target for a newer more deadly terminator Once again the resistance has managed to send a protector back to attempt to save John and his mother Sarah ArnoldSchwarzenegger LindaHamilton RobertPatrick JamesCameron
285.0,Pirates of the Caribbean: At World's End,PiratesoftheCaribbeanCollection Adventure Fantasy Action Captain Barbossa long believed to be dead has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann But nothing is quite as it seems JohnnyDepp OrlandoBloom KeiraKnightley GoreVerbinski
296.0,Terminator 3: Rise of the Machines,TheTerminatorCollection Action Thriller ScienceFiction It's been 10 years since John Connor saved Earth from Judgment Day and he's now living under the radar steering clear of using anything Skynet can trace That is until he encounters T-X a robotic assassin ordered to finish what T-1000 started Good thing Connor's former nemesis the Terminator is back to aid the now-adult Connor … just like he promised ArnoldSchwarzenegger NickStahl ClaireDanes JonathanMostow
