name
Tibor Takács
Kurt Neumann
Mark L. Lester
Jeff Burr
Peter Faiman
Álex de la Iglesia
Robert Iscove
Michael Powell
René Laloux
Darren Stein
Michael Davis
Mary Lambert
David Price
Jack Smight
Jerry Jameson
James Goldstone
Ted Post
Mark Robson
David Lowell Rich
Guy Ritchie
Adam Bernstein
Katt Shea
Wolf Rilla
Bob Clark
Gaspar Noé
Antonia Bird
Walter Lang
Scott Silver
Tony Goldwyn
Gil Junger
James Merendino
Rodman Flender
Jim Wynorski
Jonathan R. Betuel
Rob Sitch
Terence Fisher
Richard Lester
Sidney J. Furie
Philippe Mora
Jack Arnold
Christian Nyby
Byron Haskin
Don Siegel
Fred F. Sears
Roger Michell
François Girard
Tom Tykwer
Roger Nygard
Leos Carax
Mark Pellington
Éric Rohmer
Tim Hill
Daniel Myrick
Eduardo Sánchez
Rick Famuyiwa
Michael Patrick Jann
David Kellogg
Kinka Usher
François Truffaut
Peter R. Hunt
Brad Bird
M. Night Shyamalan
Paul McGuigan
James Gray
Anne Wheeler
Peter Hall
Ian MacNaughton
Mike Hodges
Graham Baker
Crane Wilbur
Mike Barker
Joseph Sargent
George Dunning
Sam Mendes
Tinto Brass
Giancarlo Lui
Gene Saks
Ken Russell
Tom DeSimone
Peter Kassovitz
John Schultz
Jake Scott
Don Coscarelli
Richard Franklin
Anthony Perkins
Bruce McCulloch
Kimberly Peirce
Jeff Abugov
Régis Wargnier
Robert Aldrich
Guy Hamilton
Terence Young
Mervyn LeRoy
Werner Herzog
Bob Fosse
Malcolm D. Lee
Antonio Banderas
Damon Santostefano
George Pavlou
Spike Jonze
Radu Mihaileanu
Gary Sinyor
Chris Smith
Bruce Malmuth
Boris Sagal
Richard Shepard
Bernhard Wicki
Andrew Marton
Kurt Voss
Kinji Fukasaku
Toshio Masuda
Ramón Menéndez
Henry Koster
Mario Bava
Anjelica Huston
Andrew V. McLaglen
Jack Nicholson
Mike Mitchell
Tim Roth
Peter Bogdanovich
James Algar
Gaëtan Brizzi
Hendel Butoy
Martha Fiennes
Matthew Warchus
Robert Ellis Miller
Dean Parisot
Steve Carr
Julie Taymor
Jay Russell
Bruce Timm
Eric Radomski
Bill Duke
Stephen Surjik
Fran Rubel Kuzui
Gary Sinise
Troy Duffy
Eric Blakeney
Chris Koch
Jun Falkenstein
Ben Younger
Diane Keaton
Anthony Mann
Rod Lurie
Paul Flaherty
James Frawley
Ralph Zondag
Dick Zondag
Jean Negulesco
Roy Ward Baker
Michael Winner
Mark Piznarski
David Raynr
Peter Brook
Martin Ritt
Robert Rossen
Luis Valdez
Bibo Bergeron
Eugenio Martín
Bonnie Hunt
Richard Quine
Edward Norton
Marek Kanievska
Damien O'Donnell
Davis Guggenheim
Gina Prince-Bythewood
Bharat Nalluri
Matt Williams
John Swanbeck
Justin Kerrigan
Jim McBride
Stan Dragoti
Norman Taurog
Michael Curtiz
Todd Phillips
Tom Dey
Herk Harvey
Lewis Gilbert
Agnès Varda
Val Guest
Bigas Luna
Lucio Fulci
Marco Ferreri
David Schmoeller
David DeCoteau
Otto Preminger
James Komack
Noel Black
Richard W. Haines
Lloyd Kaufman
Michael Herz
George Ogilvie
Gordon Parks
Alison Maclean
Aaron Norris
Gordon Hessler
George Jackson
Doug McHenry
Jörg Buttgereit
Michelangelo Antonioni
Po-Chih Leong
Sam Wanamaker
Vittorio De Sica
Joan Chen
David McNally
John Forte
Robert Lee King
Nigel Cole
Brian G. Hutton
Robert Hiltzik
